city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
madimba,tz,2017-09-08 13:42:00,40.33,-10.4,74.07,100.0,68.0,8.99
mafra,br,2017-09-08 13:42:01,-49.81,-26.11,71.55,74.0,12.0,1.61
mahajanga,mg,2017-09-08 13:00:00,46.32,-15.72,77.0,61.0,20.0,13.87
mahebourg,mu,2017-09-08 13:00:00,57.7,-20.41,73.4,69.0,75.0,14.99
malakal,sd,2017-09-08 13:42:01,31.66,9.53,72.72,96.0,20.0,1.61
maldonado,uy,2017-09-08 13:00:00,-54.95,-34.9,59.0,93.0,90.0,8.05
mamlyutka,kz,2017-09-08 13:42:02,68.54,54.94,46.26,68.0,48.0,9.78
mana,gf,2017-09-08 13:42:03,-53.78,5.66,90.81,42.0,0.0,5.08
manaure,co,2017-09-08 13:42:03,-72.44,11.78,82.62,95.0,36.0,8.21
mancio lima,br,2017-09-08 13:00:00,-72.9,-7.61,91.4,55.0,40.0,2.24
mandal,in,2017-09-08 13:42:03,74.57,25.45,72.9,91.0,32.0,3.18
manicore,br,2017-09-08 13:00:00,-61.3,-5.81,93.2,59.0,20.0,2.24
maniitsoq,gl,2017-09-08 13:42:04,-52.9,65.42,41.22,87.0,0.0,8.77
manjakandriana,mg,2017-09-08 13:30:00,47.8,-18.92,57.2,87.0,75.0,8.05
manoel urbano,br,2017-09-08 13:42:05,-69.26,-8.84,79.02,90.0,80.0,4.41
manono,cd,2017-09-08 13:42:05,27.42,-7.3,75.96,60.0,48.0,3.51
manta,ec,2017-09-08 13:00:00,-80.73,-0.95,77.0,83.0,90.0,6.93
manyana,bw,2017-09-08 13:42:06,21.72,-23.4,68.13,23.0,0.0,11.56
mar del plata,ar,2017-09-08 13:00:00,-57.56,-38.0,51.8,87.0,40.0,12.75
marawi,sd,2017-09-08 13:42:06,31.82,18.48,84.96,27.0,12.0,12.46
marcona,pe,2017-09-08 13:42:07,-75.16,-15.37,59.22,94.0,64.0,14.03
margate,za,2017-09-08 13:42:07,30.37,-30.86,63.45,93.0,0.0,7.43
marienburg,sr,2017-09-08 13:00:00,-55.02,5.85,93.2,49.0,20.0,11.41
mariental,na,2017-09-08 13:00:00,17.97,-24.63,73.4,18.0,44.0,2.24
marrakesh,ma,2017-09-08 13:00:00,-8.01,31.63,87.8,20.0,0.0,13.87
marzuq,ly,2017-09-08 13:42:09,13.92,25.92,80.28,21.0,0.0,8.32
masty,by,2017-09-08 13:42:09,24.54,53.41,52.38,88.0,64.0,8.21
masuguru,tz,2017-09-08 13:42:09,38.42,-11.37,74.61,60.0,0.0,11.01
matara,lk,2017-09-08 13:42:09,80.54,5.95,75.24,100.0,92.0,12.12
matay,eg,2017-09-08 13:42:10,30.78,28.42,69.75,69.0,0.0,2.95
medina,br,2017-09-08 13:42:10,-41.48,-16.22,71.91,54.0,20.0,10.22
mehamn,no,2017-09-08 12:50:00,27.85,71.04,46.4,70.0,40.0,21.92
meulaboh,id,2017-09-08 13:42:11,96.13,4.14,76.86,100.0,68.0,4.18
mezen,ru,2017-09-08 13:42:11,44.24,65.85,46.44,61.0,92.0,10.45
mhlume,sz,2017-09-08 13:00:00,31.85,-26.03,64.4,82.0,0.0,9.17
micheweni,tz,2017-09-08 13:42:12,39.83,-4.97,77.31,100.0,44.0,15.14
minab,ir,2017-09-08 13:42:12,57.08,27.15,82.08,93.0,0.0,5.97
minas novas,br,2017-09-08 13:42:13,-42.59,-17.22,74.88,40.0,0.0,9.78
miranorte,br,2017-09-08 13:42:13,-48.36,-9.49,94.32,29.0,32.0,4.85
mirina,gr,2017-09-08 13:20:00,24.97,60.17,51.8,87.0,75.0,8.05
mizdah,ly,2017-09-08 13:42:14,12.98,31.45,82.89,32.0,0.0,11.68
mocambique,mz,2017-09-08 13:42:14,40.74,-15.03,72.36,96.0,0.0,1.95
mocuba,mz,2017-09-08 13:42:15,37.0,-17.0,65.34,74.0,0.0,5.19
molchanovo,ru,2017-09-08 13:42:15,83.77,57.58,40.68,92.0,24.0,9.78
monte aprazivel,br,2017-09-08 13:00:00,-49.71,-20.77,93.2,12.0,0.0,5.82
montepuez,mz,2017-09-08 13:42:16,39.0,-13.13,66.78,76.0,0.0,8.55
moose factory,ca,2017-09-08 13:00:00,-80.63,51.28,53.6,76.0,90.0,6.93
mopipi,bw,2017-09-08 13:42:16,24.88,-21.18,67.05,28.0,0.0,8.66
morales,gt,2017-09-08 13:00:00,-88.82,15.48,89.6,66.0,40.0,9.17
moroni,km,2017-09-08 13:00:00,43.26,-11.7,73.4,94.0,20.0,4.7
morros,br,2017-09-08 13:42:17,-46.3,-9.45,91.26,29.0,80.0,9.1
muli,mv,2017-09-08 13:42:17,73.57,2.92,81.36,100.0,36.0,18.72
mumford,gh,2017-09-08 13:42:18,-0.76,5.26,73.17,96.0,48.0,5.41
murgab,tm,2017-09-08 13:00:00,61.97,37.5,73.4,49.0,5.0,2.84
muros,es,2017-09-08 13:30:00,-9.06,42.78,60.8,93.0,75.0,2.24
mutoko,zw,2017-09-08 13:42:19,32.23,-17.4,64.44,56.0,0.0,6.42
mutsamudu,km,2017-09-08 13:42:19,44.4,-12.17,77.31,100.0,0.0,1.61
mwinilunga,zm,2017-09-08 13:42:19,24.43,-11.74,68.85,34.0,0.0,6.08
namibe,ao,2017-09-08 13:42:20,12.15,-15.2,67.14,100.0,48.0,1.61
nanortalik,gl,2017-09-08 13:42:20,-45.24,60.14,38.88,95.0,92.0,32.03
nantucket,us,2017-09-08 13:15:00,-70.1,41.28,69.8,73.0,1.0,12.75
narsaq,gl,2017-09-08 12:50:00,-46.05,60.92,46.4,70.0,92.0,2.24
naryan-mar,ru,2017-09-08 13:42:21,53.09,67.67,38.7,100.0,0.0,14.81
natal,br,2017-09-08 13:00:00,-35.21,-5.79,78.8,74.0,20.0,20.8
necochea,ar,2017-09-08 13:42:21,-58.74,-38.55,58.68,63.0,8.0,8.77
neuquen,ar,2017-09-08 13:00:00,-68.06,-38.95,60.8,38.0,0.0,9.17
newton abbot,gb,2017-09-08 13:20:00,-3.61,50.53,53.6,93.0,20.0,14.36
nicoya,cr,2017-09-08 13:00:00,-85.45,10.15,86.0,74.0,75.0,8.05
nizwa,om,2017-09-08 13:42:23,57.53,22.93,75.69,51.0,8.0,4.52
nokaneng,bw,2017-09-08 13:42:23,22.27,-19.67,66.51,39.0,0.0,6.42
nosy varika,mg,2017-09-08 13:42:23,48.53,-20.58,65.25,100.0,48.0,2.17
nouadhibou,mr,2017-09-08 13:42:23,-17.03,20.93,81.36,60.0,0.0,15.14
nuuk,gl,2017-09-08 12:50:00,-51.72,64.18,48.2,66.0,40.0,6.93
oistins,bb,2017-09-08 13:00:00,-59.53,13.07,87.8,70.0,20.0,11.41
olafsvik,is,2017-09-08 13:42:24,-23.71,64.89,49.77,100.0,0.0,14.7
olinda,br,2017-09-08 13:00:00,-34.86,-8.01,78.8,74.0,40.0,17.22
ondjiva,ao,2017-09-08 13:42:25,15.73,-17.07,69.93,26.0,0.0,8.66
ongwediva,na,2017-09-08 13:42:25,15.77,-17.78,70.02,25.0,0.0,6.2
opuwo,na,2017-09-08 13:42:26,13.84,-18.06,62.91,37.0,0.0,4.63
oranjemund,na,2017-09-08 13:42:26,16.43,-28.55,55.53,93.0,0.0,19.28
oranjestad,aw,2017-09-08 13:00:00,-70.03,12.52,86.0,79.0,20.0,3.36
ostrovnoy,ru,2017-09-08 13:42:26,39.51,68.05,42.03,80.0,8.0,18.28
paamiut,gl,2017-09-08 13:42:27,-49.67,61.99,40.5,96.0,92.0,0.16
padang,id,2017-09-08 13:42:27,100.35,-0.95,81.18,100.0,32.0,9.22
pangnirtung,ca,2017-09-08 13:00:00,-65.71,66.15,37.4,82.0,90.0,12.75
pangody,ru,2017-09-08 13:42:28,74.49,65.85,35.19,87.0,56.0,11.34
parabel,ru,2017-09-08 13:42:28,81.48,58.7,42.03,82.0,36.0,8.77
paramonga,pe,2017-09-08 13:42:28,-77.83,-10.67,61.56,100.0,56.0,8.77
paratinga,br,2017-09-08 13:42:28,-43.18,-12.69,81.45,35.0,0.0,7.99
pascagoula,us,2017-09-08 12:58:00,-88.56,30.37,86.0,33.0,1.0,9.17
pisco,pe,2017-09-08 13:00:00,-76.22,-13.7,64.4,82.0,90.0,6.93
plettenberg bay,za,2017-09-08 13:42:29,23.37,-34.05,58.59,100.0,44.0,8.77
ponta do sol,cv,2017-09-08 13:42:30,-25.09,17.2,78.21,100.0,0.0,12.8
poopo,bo,2017-09-08 13:00:00,-66.97,-18.37,57.2,41.0,40.0,18.34
port alfred,za,2017-09-08 13:42:30,26.89,-33.59,62.82,92.0,92.0,4.85
port elizabeth,za,2017-09-08 13:00:00,25.57,-33.92,57.2,93.0,40.0,3.36
port hawkesbury,ca,2017-09-08 13:00:00,-61.35,45.62,69.8,68.0,75.0,8.05
port shepstone,za,2017-09-08 13:42:31,30.45,-30.74,63.45,93.0,0.0,7.43
port-gentil,ga,2017-09-08 13:00:00,8.78,-0.72,77.0,88.0,20.0,9.17
porto nacional,br,2017-09-08 13:00:00,-48.42,-10.71,93.2,34.0,40.0,3.36
porto torres,it,2017-09-08 12:50:00,8.4,40.84,66.2,77.0,20.0,3.36
portree,gb,2017-09-08 13:42:32,-6.19,57.41,52.38,100.0,92.0,7.2
potoci,ba,2017-09-08 13:00:00,17.88,43.41,68.0,88.0,40.0,3.36
pozzallo,it,2017-09-08 12:50:00,14.85,36.73,62.6,93.0,0.0,2.24
presidencia roque saenz pena,ar,2017-09-08 13:42:34,-60.44,-26.79,76.05,89.0,76.0,2.73
punta arenas,cl,2017-09-08 13:00:00,-70.92,-53.15,44.6,39.0,40.0,19.46
qaanaaq,gl,2017-09-08 13:42:34,-69.36,77.48,24.03,100.0,24.0,15.82
qaqortoq,gl,2017-09-08 12:50:00,-46.03,60.72,46.4,70.0,92.0,2.24
quatre cocos,mu,2017-09-08 13:00:00,57.76,-20.21,73.4,69.0,75.0,14.99
quelimane,mz,2017-09-08 13:00:00,36.89,-17.88,71.6,78.0,0.0,5.82
quthing,ls,2017-09-08 13:42:35,27.7,-30.4,40.95,59.0,0.0,1.95
raga,sd,2017-09-08 13:20:00,24.1,56.95,55.4,93.0,40.0,8.05
rawson,ar,2017-09-08 13:42:36,-65.1,-43.3,55.44,60.0,8.0,9.44
rehoboth,na,2017-09-08 13:42:36,17.08,-23.32,58.59,42.0,44.0,3.96
riachao das neves,br,2017-09-08 13:42:37,-44.91,-11.75,85.59,28.0,0.0,7.99
ribeira grande,pt,2017-09-08 13:00:00,-28.7,38.52,73.4,73.0,40.0,10.29
richards bay,za,2017-09-08 13:42:37,32.04,-28.78,62.64,99.0,12.0,3.62
rio gallegos,ar,2017-09-08 13:00:00,-69.22,-51.62,46.4,36.0,0.0,17.22
rio grande,br,2017-09-08 13:00:00,-52.1,-32.03,75.2,69.0,0.0,6.93
rio pardo,br,2017-09-08 13:42:38,-52.38,-29.99,75.6,73.0,80.0,8.21
rivadavia,ar,2017-09-08 13:00:00,-68.46,-33.19,71.6,30.0,40.0,8.05
road town,vg,2017-09-08 13:40:28,-64.62,18.42,84.69,99.0,92.0,11.23
roald,no,2017-09-08 13:20:00,6.13,62.58,53.6,100.0,0.0,4.7
rocha,uy,2017-09-08 13:42:39,-54.33,-34.48,62.28,100.0,92.0,6.76
roches noires,mu,2017-09-08 13:00:00,57.71,-20.11,73.4,69.0,75.0,14.99
rognan,no,2017-09-08 13:20:00,15.39,67.1,53.6,66.0,0.0,11.41
rojhan,pk,2017-09-08 13:42:40,69.95,28.69,77.31,79.0,0.0,3.18
rolim de moura,br,2017-09-08 13:42:41,-61.47,-11.5,95.58,32.0,64.0,2.62
ruthin,gb,2017-09-08 13:20:00,-3.32,53.11,57.2,93.0,75.0,12.75
saint anthony,ca,2017-09-08 13:00:00,-55.58,51.37,62.6,72.0,90.0,28.86
saint-augustin,ca,2017-09-08 13:42:42,-58.65,51.23,58.41,89.0,0.0,16.04
saint-denis,re,2017-09-08 13:00:00,55.47,-20.87,71.6,60.0,90.0,17.22
saint-jean-de-braye,fr,2017-09-08 13:30:00,1.98,47.91,59.0,93.0,92.0,11.41
saint-joseph,re,2017-09-08 13:00:00,55.62,-21.37,71.6,68.0,75.0,16.11
saint-leu,re,2017-09-08 13:00:00,55.28,-21.15,71.6,68.0,75.0,16.11
saint-philippe,re,2017-09-08 13:00:00,55.77,-21.36,71.6,68.0,75.0,16.11
saint-pierre,re,2017-09-08 13:00:00,55.48,-21.34,71.6,68.0,75.0,16.11
sakaraha,mg,2017-09-08 13:42:44,44.53,-22.9,55.44,86.0,0.0,3.29
salalah,om,2017-09-08 12:50:00,54.09,17.02,78.8,88.0,75.0,3.36
saldanha,za,2017-09-08 13:00:00,17.94,-33.01,51.8,87.0,0.0,3.36
salinopolis,br,2017-09-08 13:42:45,-47.36,-0.61,82.26,92.0,24.0,16.6
sambava,mg,2017-09-08 13:42:45,50.17,-14.27,72.09,100.0,92.0,20.29
san carlos de bariloche,ar,2017-09-08 13:00:00,-71.31,-41.15,42.8,45.0,40.0,21.92
san cristobal,ec,2017-09-08 13:42:45,-89.62,-0.9,68.85,97.0,24.0,11.79
san ignacio,bo,2017-09-08 13:42:46,-65.6,-14.97,91.44,43.0,32.0,7.54
san luis,ar,2017-09-08 13:39:40,-66.34,-33.3,64.8,69.0,12.0,12.8
san martin,ar,2017-09-08 13:00:00,-68.47,-33.08,71.6,30.0,40.0,8.05
san matias,bo,2017-09-08 13:42:46,-58.4,-16.37,94.41,34.0,24.0,8.1
san rafael,ar,2017-09-08 13:42:47,-68.33,-34.62,54.99,42.0,68.0,13.35
san vicente de canete,pe,2017-09-08 13:42:47,-76.38,-13.08,65.25,70.0,0.0,4.41
santa cruz,cr,2017-09-08 13:00:00,-85.59,10.26,86.0,74.0,75.0,8.05
santa isabel do rio negro,br,2017-09-08 13:42:48,-65.02,-0.41,76.68,94.0,64.0,3.96
santa rosa,ar,2017-09-08 13:42:48,-64.28,-36.62,59.31,81.0,92.0,10.45
santa vitoria do palmar,br,2017-09-08 13:42:48,-53.37,-33.52,64.35,94.0,92.0,7.65
santiago del estero,ar,2017-09-08 13:40:49,-64.26,-27.8,70.2,79.0,92.0,7.31
santona,es,2017-09-08 13:30:00,-3.46,43.44,66.2,77.0,75.0,6.93
sao felix do xingu,br,2017-09-08 13:42:49,-51.99,-6.64,83.43,64.0,44.0,2.84
sao filipe,cv,2017-09-08 13:42:49,-24.5,14.9,80.64,97.0,80.0,6.87
sao gabriel da cachoeira,br,2017-09-08 13:00:00,-67.09,-0.13,84.2,74.0,40.0,2.24
sao geraldo do araguaia,br,2017-09-08 13:42:50,-48.55,-6.4,90.45,44.0,32.0,3.4
sao joao da barra,br,2017-09-08 13:00:00,-41.05,-21.64,75.2,64.0,0.0,25.28
sao joao da ponte,br,2017-09-08 13:42:50,-44.01,-15.93,77.58,31.0,0.0,7.99
sao luiz gonzaga,br,2017-09-08 13:42:51,-54.96,-28.41,85.59,57.0,80.0,3.4
sao miguel do araguaia,br,2017-09-08 13:42:51,-50.16,-13.28,87.03,59.0,48.0,3.62
sao paulo de olivenca,br,2017-09-08 13:42:51,-68.87,-3.38,80.37,84.0,56.0,2.73
sao raimundo nonato,br,2017-09-08 13:42:52,-42.7,-9.02,85.59,34.0,0.0,10.67
scottsboro,us,2017-09-08 13:35:00,-86.03,34.67,75.2,60.0,1.0,6.93
scottsburgh,za,2017-09-08 13:42:52,30.75,-30.29,51.84,90.0,0.0,2.39
secunda,za,2017-09-08 13:42:52,29.17,-26.55,63.63,22.0,92.0,3.74
semme,sn,2017-09-08 13:42:53,-12.94,15.19,87.48,56.0,0.0,5.75
sept-iles,ca,2017-09-08 13:00:00,-66.38,50.2,62.6,59.0,75.0,12.75
shakawe,bw,2017-09-08 13:42:53,21.85,-18.37,65.7,40.0,0.0,3.51
sinkat,sd,2017-09-08 13:42:54,37.33,19.11,81.63,79.0,0.0,3.96
sistranda,no,2017-09-08 13:20:00,8.83,63.73,53.6,62.0,0.0,19.46
skelleftea,se,2017-09-08 13:20:00,20.95,64.75,51.8,93.0,75.0,12.75
sokolo,ml,2017-09-08 13:42:55,-6.12,14.73,85.32,66.0,0.0,6.08
sokoto,ng,2017-09-08 13:42:20,5.24,13.06,72.18,92.0,88.0,6.98
songea,tz,2017-09-08 13:42:55,35.65,-10.68,58.59,77.0,0.0,3.06
souillac,mu,2017-09-08 13:00:00,57.52,-20.52,73.4,69.0,75.0,14.99
soyo,ao,2017-09-08 13:42:56,12.37,-6.13,73.08,86.0,0.0,5.19
stantsiya gorchakovo,uz,2017-09-08 13:42:56,32.47,59.28,49.41,97.0,12.0,4.85
stokmarknes,no,2017-09-08 12:50:00,14.91,68.56,55.4,66.0,0.0,16.11
strezhevoy,ru,2017-09-08 13:00:00,77.59,60.73,41.0,93.0,75.0,6.71
stykkisholmur,is,2017-09-08 13:42:57,-22.73,65.08,48.06,96.0,0.0,8.32
suez,eg,2017-09-08 13:42:57,32.53,29.97,77.58,67.0,0.0,7.09
sur,om,2017-09-08 13:38:09,59.53,22.57,84.24,92.0,0.0,7.99
swellendam,za,2017-09-08 13:00:00,20.44,-34.02,50.0,87.0,0.0,4.7
tabou,ci,2017-09-08 13:42:58,-7.35,4.42,77.04,100.0,100.0,10.67
tabuk,sa,2017-09-08 13:00:00,36.58,28.38,93.2,9.0,40.0,5.82
tacna,pe,2017-09-08 13:00:00,-70.25,-18.01,68.0,60.0,20.0,10.29
talnakh,ru,2017-09-08 13:42:59,88.4,69.49,35.82,90.0,48.0,6.42
taltal,cl,2017-09-08 13:42:59,-70.48,-25.4,58.05,70.0,0.0,3.4
tamandare,br,2017-09-08 13:42:59,-35.1,-8.76,74.61,86.0,92.0,10.0
taolanaro,mg,2017-09-08 13:00:00,46.97,-25.02,71.6,78.0,20.0,21.92
tarancon,es,2017-09-08 13:00:00,-3.01,40.01,75.2,36.0,0.0,5.82
tarata,pe,2017-09-08 13:43:00,-70.03,-17.47,52.29,68.0,8.0,3.4
tarko-sale,ru,2017-09-08 13:43:01,77.78,64.92,39.33,96.0,92.0,12.91
tarudant,ma,2017-09-08 13:00:00,-8.88,30.47,64.4,100.0,90.0,3.36
tashtyp,ru,2017-09-08 13:43:01,89.9,52.79,40.59,86.0,68.0,4.18
tasiilaq,gl,2017-09-08 12:50:00,-37.64,65.61,41.0,65.0,76.0,16.11
tawkar,sd,2017-09-08 13:43:02,30.37,13.7,70.83,90.0,32.0,5.97
taybad,ir,2017-09-08 13:43:02,60.78,34.74,71.73,36.0,0.0,13.02
tazmalt,dz,2017-09-08 13:00:00,4.4,36.39,71.6,83.0,0.0,5.82
tazovskiy,ru,2017-09-08 13:43:03,78.7,67.47,37.35,91.0,64.0,14.14
tefe,br,2017-09-08 13:00:00,-64.71,-3.35,89.6,62.0,20.0,4.7
teguise,es,2017-09-08 13:30:00,-13.56,29.06,75.2,73.0,20.0,14.99
tessalit,ml,2017-09-08 13:43:03,1.01,20.2,81.0,18.0,20.0,2.39
thinadhoo,mv,2017-09-08 13:43:04,72.93,0.53,84.15,100.0,36.0,17.05
thompson,ca,2017-09-08 13:00:00,-97.86,55.74,73.4,46.0,40.0,16.11
tingo maria,pe,2017-09-08 13:00:00,-76.01,-9.29,84.2,58.0,20.0,3.36
tocopilla,cl,2017-09-08 13:43:05,-70.2,-22.09,58.77,97.0,8.0,5.86
torbay,ca,2017-09-08 13:00:00,-52.73,47.67,69.8,88.0,90.0,20.8
totma,ru,2017-09-08 13:43:05,42.76,59.97,51.57,96.0,76.0,4.29
touros,br,2017-09-08 13:43:05,-35.46,-5.2,78.66,77.0,0.0,17.72
trinidad,bo,2017-09-08 13:00:00,-64.9,-14.83,95.0,47.0,75.0,6.93
tromso,no,2017-09-08 13:20:00,18.96,69.65,44.6,81.0,0.0,3.36
tsihombe,mg,2017-09-08 13:43:06,45.48,-25.3,68.31,68.0,0.0,7.87
tsiroanomandidy,mg,2017-09-08 13:43:07,46.03,-18.77,58.41,65.0,0.0,9.33
tulum,mx,2017-09-08 12:40:00,-87.47,20.22,89.6,62.0,20.0,10.29
tumannyy,ru,2017-09-08 13:43:07,35.15,69.16,44.01,81.0,76.0,13.69
umzimvubu,za,2017-09-08 13:41:43,29.42,-30.55,45.72,81.0,0.0,1.61
upernavik,gl,2017-09-08 13:43:08,-56.15,72.79,38.16,100.0,68.0,13.13
urucara,br,2017-09-08 13:43:08,-57.76,-2.54,95.13,36.0,0.0,5.41
urucui,br,2017-09-08 13:43:08,-44.56,-7.23,90.18,27.0,0.0,10.33
usak,tr,2017-09-08 13:43:08,29.41,38.67,54.99,74.0,0.0,2.62
ushuaia,ar,2017-09-08 13:00:00,-68.3,-54.8,46.4,36.0,20.0,9.17
usinsk,ru,2017-09-08 13:40:02,57.53,65.99,35.55,98.0,0.0,10.22
uvarovka,ru,2017-09-08 13:43:09,35.61,55.53,52.02,94.0,100.0,9.78
uyuni,bo,2017-09-08 13:43:10,-66.83,-20.46,51.39,22.0,36.0,14.81
vakhtan,ru,2017-09-08 13:43:10,46.69,57.97,55.26,99.0,92.0,6.53
valdivia,cl,2017-09-08 13:00:00,-73.25,-39.81,53.6,46.0,40.0,8.05
vallenar,cl,2017-09-08 13:43:10,-70.76,-28.57,57.51,62.0,0.0,3.85
valparaiso,cl,2017-09-08 13:00:00,-71.63,-33.04,57.2,62.0,75.0,9.17
vardo,no,2017-09-08 12:50:00,31.11,70.37,44.6,75.0,75.0,25.28
vargem grande,br,2017-09-08 13:43:11,-43.92,-3.54,88.83,50.0,56.0,4.63
veinticinco de mayo,ar,2017-09-08 13:43:11,-60.17,-35.43,66.33,64.0,0.0,10.33
verkh-suetka,ru,2017-09-08 13:43:12,80.05,53.3,34.29,82.0,0.0,2.06
vestmanna,fo,2017-09-08 13:20:00,-7.17,62.16,55.4,82.0,56.0,9.17
vestmannaeyjar,is,2017-09-08 13:43:12,-20.27,63.44,51.03,82.0,0.0,9.33
vetlanda,se,2017-09-08 13:20:00,15.08,57.43,57.2,93.0,92.0,12.75
victoria,sc,2017-09-08 13:00:00,55.45,-4.62,78.8,83.0,75.0,10.29
viedma,ar,2017-09-08 13:43:13,-63.0,-40.81,59.49,45.0,92.0,4.18
vila franca do campo,pt,2017-09-08 13:00:00,-25.43,37.72,73.4,73.0,40.0,5.82
vila velha,br,2017-09-08 13:00:00,-40.29,-20.33,75.2,73.0,0.0,8.05
vilhena,br,2017-09-08 13:00:00,-60.15,-12.74,86.0,48.0,75.0,10.29
villavicencio,co,2017-09-08 13:43:14,-73.63,4.14,65.07,86.0,92.0,1.83
villazon,bo,2017-09-08 13:43:15,-65.59,-22.09,55.35,9.0,8.0,10.11
viseu,br,2017-09-08 13:43:15,-46.14,-1.2,82.98,72.0,12.0,12.68
waddan,ly,2017-09-08 13:43:15,16.14,29.16,80.19,25.0,0.0,7.2
wajir,ke,2017-09-08 13:43:16,40.06,1.75,77.22,65.0,24.0,12.57
walvis bay,na,2017-09-08 13:00:00,14.51,-22.96,57.2,71.0,0.0,8.55
warri,ng,2017-09-08 13:43:16,5.75,5.52,73.35,97.0,32.0,4.85
watsa,cd,2017-09-08 13:43:16,29.54,3.04,66.24,96.0,68.0,2.28
weligama,lk,2017-09-08 13:43:17,80.42,5.97,75.24,100.0,92.0,12.12
werda,bw,2017-09-08 13:43:17,23.28,-25.27,70.38,24.0,32.0,12.24
willowmore,za,2017-09-08 13:43:17,23.49,-33.29,47.88,50.0,0.0,2.28
winchester,ca,2017-09-08 13:15:00,-75.35,45.08,60.8,72.0,75.0,11.41
witrivier,za,2017-09-08 13:00:00,19.02,-34.15,51.8,93.0,0.0,2.24
wukari,ng,2017-09-08 13:43:18,9.78,7.85,73.71,92.0,8.0,3.62
xique-xique,br,2017-09-08 13:43:18,-42.73,-10.82,83.79,42.0,12.0,10.33
xuddur,so,2017-09-08 13:43:19,43.89,4.12,74.43,69.0,36.0,12.24
yangambi,cd,2017-09-08 13:43:19,24.43,0.81,73.98,92.0,36.0,3.62
yar-sale,ru,2017-09-08 13:43:19,70.83,66.83,40.41,100.0,44.0,17.83
yarada,in,2017-09-08 13:43:20,83.27,17.65,86.13,99.0,68.0,6.76
yauya,pe,2017-09-08 13:43:20,-77.3,-8.98,59.67,35.0,92.0,2.17
young,uy,2017-09-08 13:43:20,-57.63,-32.68,68.13,95.0,92.0,9.78
zaltan,ly,2017-09-08 13:43:20,11.87,32.95,80.55,89.0,0.0,11.79
zharkent,kz,2017-09-08 13:43:21,80.0,44.16,42.21,47.0,8.0,6.08
zhezkazgan,kz,2017-09-08 13:43:21,67.77,47.78,53.01,76.0,68.0,2.95
